year,city,country,avg_temp
1965,Athens,Greece,17.34
1966,Athens,Greece,18.37
1967,Athens,Greece,17.49
1968,Athens,Greece,17.70
1969,Athens,Greece,17.59
1970,Athens,Greece,17.80
1971,Athens,Greece,17.27
1972,Athens,Greece,17.28
1973,Athens,Greece,17.41
1974,Athens,Greece,17.34
1975,Athens,Greece,17.41
1976,Athens,Greece,16.79
1977,Athens,Greece,17.80
1978,Athens,Greece,17.40
1979,Athens,Greece,17.80
1980,Athens,Greece,17.34
1981,Athens,Greece,17.69
1982,Athens,Greece,17.11
1983,Athens,Greece,17.09
1984,Athens,Greece,17.53
1985,Athens,Greece,17.82
1986,Athens,Greece,17.82
1987,Athens,Greece,17.32
1988,Athens,Greece,17.66
1989,Athens,Greece,17.48
1990,Athens,Greece,18.05
1991,Athens,Greece,17.07
1992,Athens,Greece,17.13
1993,Athens,Greece,17.53
1994,Athens,Greece,18.47
1995,Athens,Greece,17.82
1996,Athens,Greece,17.46
1997,Athens,Greece,17.35
1998,Athens,Greece,18.15
1999,Athens,Greece,18.82
2000,Athens,Greece,18.20
2001,Athens,Greece,18.67
2002,Athens,Greece,18.33
2003,Athens,Greece,17.95
2004,Athens,Greece,18.07
2005,Athens,Greece,17.91
2006,Athens,Greece,17.78
2007,Athens,Greece,18.67
2008,Athens,Greece,18.61
2009,Athens,Greece,18.52
2010,Athens,Greece,19.30
2011,Athens,Greece,17.67
2012,Athens,Greece,18.82
2013,Athens,Greece,19.36
